G:\3000.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	 1	1A1C	  1	     7269	59,7
 2	P	 2	 1	1A1C	  2	     7374	59,6
 2	P	 2	 1	1A1C	  3	     7341	59,6
 2	P	 2	 1	1A1C	  4	     7376	59,6
 2	P	 2	 1	1A1C	  5	     7362	59,7
 2	P	 2	 1	1A1C	  6	     7329	59,7
 2	P	 2	 1	1A1C	  7	     7208	59,7
 2	P	 2	 1	1A1C	  8	     7338	59,7
 2	P	 2	 1	1A1C	  9	     7253	59,7
 2	P	 2	 1	1A1C	 10	     7245	59,7
 2	P	 2	 1	1A1C	 11	     7288	59,7
 2	P	 2	 1	1A1C	 12	     7310	59,7
 2	P	 2	 1	1A1C	 13	     7324	59,7
 2	P	 2	 1	1A1C	 14	     7322	59,7
 2	P	 2	 1	1A1C	 15	     7339	59,7
 2	P	 2	 1	1A1C	 16	     7279	59,7
 2	P	 2	 1	1A1C	 17	     7258	59,7
 2	P	 2	 1	1A1C	 18	     7298	59,7
 2	P	 2	 1	1A1C	 19	     7233	59,7
 2	P	 2	 1	1A1C	 20	     7242	59,7
 2	P	 2	 1	1A1C	 21	     7287	59,7
 2	P	 2	 1	1A1C	 22	     7293	59,7
 2	P	 2	 1	1A1C	 23	     7277	59,7
 2	P	 2	 1	1A1C	 24	     7339	59,7
 2	P	 2	 1	1A1C	 25	     7534	59,7
 2	P	 2	 1	1A1C	 26	     7601	59,7
 2	P	 2	 1	1A1C	 27	     8006	59,7
 2	P	 2	 1	1A1C	 28	     8630	59,7
 2	P	 2	 1	1A1C	 29	    10035	59,7
 2	P	 2	 1	1A1C	 30	    12270	59,7
 2	P	 2	 1	1A1C	 31	    15688	59,7
 2	P	 2	 1	1A1C	 32	    19740	59,7
 2	P	 2	 1	1A1C	 33	    24106	59,7
 2	P	 2	 1	1A1C	 34	    28063	59,7
 2	P	 2	 1	1A1C	 35	    31459	59,7
 2	P	 2	 1	1A1C	 36	    34094	59,7
 2	P	 2	 1	1A1C	 37	    36011	59,7
 2	P	 2	 1	1A1C	 38	    36766	59,7
 2	P	 2	 1	1A1C	 39	    38117	59,7
 2	P	 2	 1	1A1C	 40	    38514	59,7
 2	P	 2	 2	1A1C	  1	     7208	59,7
 2	P	 2	 2	1A1C	  2	     7410	59,6
 2	P	 2	 2	1A1C	  3	     7465	59,6
 2	P	 2	 2	1A1C	  4	     7369	59,6
 2	P	 2	 2	1A1C	  5	     7264	59,7
 2	P	 2	 2	1A1C	  6	     7326	59,7
 2	P	 2	 2	1A1C	  7	     7318	59,7
 2	P	 2	 2	1A1C	  8	     7271	59,7
 2	P	 2	 2	1A1C	  9	     7325	59,7
 2	P	 2	 2	1A1C	 10	     7255	59,7
 2	P	 2	 2	1A1C	 11	     7229	59,7
 2	P	 2	 2	1A1C	 12	     7292	59,7
 2	P	 2	 2	1A1C	 13	     7395	59,7
 2	P	 2	 2	1A1C	 14	     7261	59,7
 2	P	 2	 2	1A1C	 15	     7212	59,7
 2	P	 2	 2	1A1C	 16	     7321	59,7
 2	P	 2	 2	1A1C	 17	     7259	59,7
 2	P	 2	 2	1A1C	 18	     7286	59,7
 2	P	 2	 2	1A1C	 19	     7231	59,7
 2	P	 2	 2	1A1C	 20	     7292	59,7
 2	P	 2	 2	1A1C	 21	     7251	59,7
 2	P	 2	 2	1A1C	 22	     7317	59,7
 2	P	 2	 2	1A1C	 23	     7278	59,7
 2	P	 2	 2	1A1C	 24	     7353	59,7
 2	P	 2	 2	1A1C	 25	     7344	59,7
 2	P	 2	 2	1A1C	 26	     7538	59,7
 2	P	 2	 2	1A1C	 27	     7898	59,7
 2	P	 2	 2	1A1C	 28	     8280	59,7
 2	P	 2	 2	1A1C	 29	     9363	59,7
 2	P	 2	 2	1A1C	 30	    11208	59,7
 2	P	 2	 2	1A1C	 31	    13883	59,7
 2	P	 2	 2	1A1C	 32	    17867	59,7
 2	P	 2	 2	1A1C	 33	    22140	59,7
 2	P	 2	 2	1A1C	 34	    26546	59,7
 2	P	 2	 2	1A1C	 35	    30799	59,7
 2	P	 2	 2	1A1C	 36	    33942	59,7
 2	P	 2	 2	1A1C	 37	    36669	59,7
 2	P	 2	 2	1A1C	 38	    38098	59,7
 2	P	 2	 2	1A1C	 39	    39591	59,7
 2	P	 2	 2	1A1C	 40	    40473	59,7
 2	P	 2	 3	1A1C	  1	     7587	59,7
 2	P	 2	 3	1A1C	  2	     7830	59,6
 2	P	 2	 3	1A1C	  3	     7803	59,6
 2	P	 2	 3	1A1C	  4	     7694	59,6
 2	P	 2	 3	1A1C	  5	     7667	59,7
 2	P	 2	 3	1A1C	  6	     7696	59,7
 2	P	 2	 3	1A1C	  7	     7677	59,7
 2	P	 2	 3	1A1C	  8	     7701	59,7
 2	P	 2	 3	1A1C	  9	     7617	59,7
 2	P	 2	 3	1A1C	 10	     7711	59,7
 2	P	 2	 3	1A1C	 11	     7659	59,7
 2	P	 2	 3	1A1C	 12	     7675	59,7
 2	P	 2	 3	1A1C	 13	     7744	59,7
 2	P	 2	 3	1A1C	 14	     7759	59,7
 2	P	 2	 3	1A1C	 15	     7670	59,7
 2	P	 2	 3	1A1C	 16	     7713	59,7
 2	P	 2	 3	1A1C	 17	     7722	59,7
 2	P	 2	 3	1A1C	 18	     7754	59,7
 2	P	 2	 3	1A1C	 19	     7735	59,7
 2	P	 2	 3	1A1C	 20	     7701	59,7
 2	P	 2	 3	1A1C	 21	     7758	59,7
 2	P	 2	 3	1A1C	 22	     7712	59,7
 2	P	 2	 3	1A1C	 23	     7752	59,7
 2	P	 2	 3	1A1C	 24	     7891	59,7
 2	P	 2	 3	1A1C	 25	     7946	59,7
 2	P	 2	 3	1A1C	 26	     8176	59,7
 2	P	 2	 3	1A1C	 27	     8543	59,7
 2	P	 2	 3	1A1C	 28	     9344	59,7
 2	P	 2	 3	1A1C	 29	    10772	59,7
 2	P	 2	 3	1A1C	 30	    13218	59,7
 2	P	 2	 3	1A1C	 31	    16852	59,7
 2	P	 2	 3	1A1C	 32	    21269	59,7
 2	P	 2	 3	1A1C	 33	    25947	59,7
 2	P	 2	 3	1A1C	 34	    30810	59,7
 2	P	 2	 3	1A1C	 35	    34756	59,7
 2	P	 2	 3	1A1C	 36	    37635	59,7
 2	P	 2	 3	1A1C	 37	    40112	59,7
 2	P	 2	 3	1A1C	 38	    41264	59,7
 2	P	 2	 3	1A1C	 39	    42656	59,7
 2	P	 2	 3	1A1C	 40	    43189	59,7
 2	P	 2	 4	1A1C	  1	     7580	59,7
 2	P	 2	 4	1A1C	  2	     7545	59,6
 2	P	 2	 4	1A1C	  3	     7622	59,6
 2	P	 2	 4	1A1C	  4	     7590	59,6
 2	P	 2	 4	1A1C	  5	     7523	59,7
 2	P	 2	 4	1A1C	  6	     7505	59,7
 2	P	 2	 4	1A1C	  7	     7416	59,7
 2	P	 2	 4	1A1C	  8	     7383	59,7
 2	P	 2	 4	1A1C	  9	     7398	59,7
 2	P	 2	 4	1A1C	 10	     7552	59,7
 2	P	 2	 4	1A1C	 11	     7567	59,7
 2	P	 2	 4	1A1C	 12	     7475	59,7
 2	P	 2	 4	1A1C	 13	     7488	59,7
 2	P	 2	 4	1A1C	 14	     7410	59,7
 2	P	 2	 4	1A1C	 15	     7472	59,7
 2	P	 2	 4	1A1C	 16	     7526	59,7
 2	P	 2	 4	1A1C	 17	     7579	59,7
 2	P	 2	 4	1A1C	 18	     7780	59,7
 2	P	 2	 4	1A1C	 19	     8156	59,7
 2	P	 2	 4	1A1C	 20	     8774	59,7
 2	P	 2	 4	1A1C	 21	     9943	59,7
 2	P	 2	 4	1A1C	 22	    11793	59,7
 2	P	 2	 4	1A1C	 23	    14806	59,7
 2	P	 2	 4	1A1C	 24	    18817	59,7
 2	P	 2	 4	1A1C	 25	    23651	59,7
 2	P	 2	 4	1A1C	 26	    29182	59,7
 2	P	 2	 4	1A1C	 27	    34040	59,7
 2	P	 2	 4	1A1C	 28	    37654	59,7
 2	P	 2	 4	1A1C	 29	    40506	59,7
 2	P	 2	 4	1A1C	 30	    42627	59,7
 2	P	 2	 4	1A1C	 31	    43835	59,7
 2	P	 2	 4	1A1C	 32	    44688	59,7
 2	P	 2	 4	1A1C	 33	    45361	59,7
 2	P	 2	 4	1A1C	 34	    45598	59,7
 2	P	 2	 4	1A1C	 35	    46076	59,7
 2	P	 2	 4	1A1C	 36	    46413	59,7
 2	P	 2	 4	1A1C	 37	    46620	59,7
 2	P	 2	 4	1A1C	 38	    46608	59,7
 2	P	 2	 4	1A1C	 39	    46889	59,7
 2	P	 2	 4	1A1C	 40	    46784	59,7
 2	P	 2	 5	1A1C	  1	     8236	59,6
 2	P	 2	 5	1A1C	  2	     8290	59,6
 2	P	 2	 5	1A1C	  3	     8209	59,7
 2	P	 2	 5	1A1C	  4	     8156	59,6
 2	P	 2	 5	1A1C	  5	     8180	59,7
 2	P	 2	 5	1A1C	  6	     8141	59,7
 2	P	 2	 5	1A1C	  7	     8184	59,7
 2	P	 2	 5	1A1C	  8	     8205	59,7
 2	P	 2	 5	1A1C	  9	     8051	59,7
 2	P	 2	 5	1A1C	 10	     8087	59,7
 2	P	 2	 5	1A1C	 11	     8200	59,7
 2	P	 2	 5	1A1C	 12	     8164	59,7
 2	P	 2	 5	1A1C	 13	     8221	59,7
 2	P	 2	 5	1A1C	 14	     8192	59,7
 2	P	 2	 5	1A1C	 15	     8199	59,7
 2	P	 2	 5	1A1C	 16	     8249	59,7
 2	P	 2	 5	1A1C	 17	     8468	59,7
 2	P	 2	 5	1A1C	 18	     8711	59,7
 2	P	 2	 5	1A1C	 19	     9186	59,7
 2	P	 2	 5	1A1C	 20	     9968	59,7
 2	P	 2	 5	1A1C	 21	    11582	59,7
 2	P	 2	 5	1A1C	 22	    14187	59,7
 2	P	 2	 5	1A1C	 23	    18015	59,7
 2	P	 2	 5	1A1C	 24	    22762	59,7
 2	P	 2	 5	1A1C	 25	    27223	59,6
 2	P	 2	 5	1A1C	 26	    31464	59,7
 2	P	 2	 5	1A1C	 27	    34570	59,7
 2	P	 2	 5	1A1C	 28	    36674	59,7
 2	P	 2	 5	1A1C	 29	    38646	59,7
 2	P	 2	 5	1A1C	 30	    39262	59,7
 2	P	 2	 5	1A1C	 31	    40021	59,7
 2	P	 2	 5	1A1C	 32	    40336	59,7
 2	P	 2	 5	1A1C	 33	    40546	59,7
 2	P	 2	 5	1A1C	 34	    41096	59,7
 2	P	 2	 5	1A1C	 35	    41040	59,7
 2	P	 2	 5	1A1C	 36	    40768	59,7
 2	P	 2	 5	1A1C	 37	    41342	59,6
 2	P	 2	 5	1A1C	 38	    41435	59,7
 2	P	 2	 5	1A1C	 39	    41325	59,7
 2	P	 2	 5	1A1C	 40	    41617	59,7
 2	P	 2	 6	1A1C	  1	     7436	59,6
 2	P	 2	 6	1A1C	  2	     7410	59,6
 2	P	 2	 6	1A1C	  3	     7384	59,7
 2	P	 2	 6	1A1C	  4	     7309	59,6
 2	P	 2	 6	1A1C	  5	     7245	59,7
 2	P	 2	 6	1A1C	  6	     7270	59,7
 2	P	 2	 6	1A1C	  7	     7173	59,7
 2	P	 2	 6	1A1C	  8	     7110	59,7
 2	P	 2	 6	1A1C	  9	     7036	59,7
 2	P	 2	 6	1A1C	 10	     7189	59,7
 2	P	 2	 6	1A1C	 11	     7109	59,7
 2	P	 2	 6	1A1C	 12	     7076	59,7
 2	P	 2	 6	1A1C	 13	     7070	59,7
 2	P	 2	 6	1A1C	 14	     7082	59,7
 2	P	 2	 6	1A1C	 15	     7056	59,7
 2	P	 2	 6	1A1C	 16	     7169	59,7
 2	P	 2	 6	1A1C	 17	     7137	59,7
 2	P	 2	 6	1A1C	 18	     7256	59,7
 2	P	 2	 6	1A1C	 19	     7516	59,7
 2	P	 2	 6	1A1C	 20	     7922	59,7
 2	P	 2	 6	1A1C	 21	     8906	59,7
 2	P	 2	 6	1A1C	 22	    10290	59,7
 2	P	 2	 6	1A1C	 23	    12566	59,7
 2	P	 2	 6	1A1C	 24	    15467	59,7
 2	P	 2	 6	1A1C	 25	    18319	59,6
 2	P	 2	 6	1A1C	 26	    21297	59,7
 2	P	 2	 6	1A1C	 27	    23733	59,7
 2	P	 2	 6	1A1C	 28	    25514	59,7
 2	P	 2	 6	1A1C	 29	    27023	59,7
 2	P	 2	 6	1A1C	 30	    28048	59,7
 2	P	 2	 6	1A1C	 31	    28804	59,7
 2	P	 2	 6	1A1C	 32	    29307	59,7
 2	P	 2	 6	1A1C	 33	    29877	59,7
 2	P	 2	 6	1A1C	 34	    30165	59,7
 2	P	 2	 6	1A1C	 35	    30481	59,7
 2	P	 2	 6	1A1C	 36	    30637	59,7
 2	P	 2	 6	1A1C	 37	    31117	59,6
 2	P	 2	 6	1A1C	 38	    31289	59,7
 2	P	 2	 6	1A1C	 39	    31301	59,7
 2	P	 2	 6	1A1C	 40	    31588	59,7
 2	P	 2	 7	1A1C	  1	     7686	59,6
 2	P	 2	 7	1A1C	  2	     7778	59,6
 2	P	 2	 7	1A1C	  3	     7766	59,7
 2	P	 2	 7	1A1C	  4	     7732	59,6
 2	P	 2	 7	1A1C	  5	     7591	59,7
 2	P	 2	 7	1A1C	  6	     7625	59,7
 2	P	 2	 7	1A1C	  7	     7682	59,7
 2	P	 2	 7	1A1C	  8	     7593	59,7
 2	P	 2	 7	1A1C	  9	     7672	59,7
 2	P	 2	 7	1A1C	 10	     7551	59,7
 2	P	 2	 7	1A1C	 11	     7665	59,7
 2	P	 2	 7	1A1C	 12	     7577	59,7
 2	P	 2	 7	1A1C	 13	     7564	59,7
 2	P	 2	 7	1A1C	 14	     7665	59,7
 2	P	 2	 7	1A1C	 15	     7637	59,7
 2	P	 2	 7	1A1C	 16	     7635	59,7
 2	P	 2	 7	1A1C	 17	     7671	59,7
 2	P	 2	 7	1A1C	 18	     7568	59,7
 2	P	 2	 7	1A1C	 19	     7573	59,7
 2	P	 2	 7	1A1C	 20	     7541	59,7
 2	P	 2	 7	1A1C	 21	     7582	59,7
 2	P	 2	 7	1A1C	 22	     7539	59,7
 2	P	 2	 7	1A1C	 23	     7613	59,7
