Well	Well Name	Dye	Assay	Replicate	Ct (dR)	Ct Avg. Treated Ind.	Ct SD Treated Ind.	
A1	A	SYBR	1A1C	1	27,52	27,60	0,31	
A2	A	SYBR	1A1C	1	27,94	27,60	0,31	
A3	A	SYBR	1A1C	1	27,35	27,60	0,31	
B1	EEEE	SYBR	1A1C	2	22,00	21,63	0,38	
B2	EEEE	SYBR	1A1C	2	21,23	21,63	0,38	
B3	EEEE	SYBR	1A1C	2	21,64	21,63	0,38	
C1	JJJJJJ	SYBR	1A1C	3	24,69	24,23	0,40	
C2	JJJJJJ	SYBR	1A1C	3	23,94	24,23	0,40	
C3	JJJJJJ	SYBR	1A1C	3	24,07	24,23	0,40	
D1	A	SYBR	1A1C	4	21,48	21,59	0,09	
D2	A	SYBR	1A1C	4	21,63	21,59	0,09	
D3	A	SYBR	1A1C	4	21,66	21,59	0,09	
E1	EE	SYBR	1A1C	5	22,28	22,38	0,16	
E2	EE	SYBR	1A1C	5	22,30	22,38	0,16	
E3	EE	SYBR	1A1C	5	22,56	22,38	0,16	
F1	I	SYBR	1A1C	6	25,65	25,28	0,32	
F2	I	SYBR	1A1C	6	25,09	25,28	0,32	
F3	I	SYBR	1A1C	6	25,11	25,28	0,32	
G1	m	SYBR	1A1C	7	20,19	20,92	1,02	
G2	m	SYBR	1A1C	7	20,49	20,92	1,02	
G3	m	SYBR	1A1C	7	22,09	20,92	1,02	
H1	p	SYBR	1A1C	8	20,02	28,58	7,42	
H2	p	SYBR	1A1C	8	33,09	28,58	7,42	
H3	p	SYBR	1A1C	8	32,62	28,58	7,42	
A4	BB	SYBR	1A1C	9	19,79	19,65	0,44	
A5	BB	SYBR	1A1C	9	19,16	19,65	0,44	
A6	BB	SYBR	1A1C	9	20,00	19,65	0,44	
B4	FFFF	SYBR	1A1C	10	20,02	19,27	0,65	
B5	FFFF	SYBR	1A1C	10	18,91	19,27	0,65	
B6	FFFF	SYBR	1A1C	10	18,89	19,27	0,65	
C4	KKKKKKK	SYBR	1A1C	11	26,72	26,75	0,10	
C5	KKKKKKK	SYBR	1A1C	11	26,66	26,75	0,10	
C6	KKKKKKK	SYBR	1A1C	11	26,86	26,75	0,10	
D4	BB	SYBR	1A1C	12	20,74	20,48	0,22	
D5	BB	SYBR	1A1C	12	20,40	20,48	0,22	
D6	BB	SYBR	1A1C	12	20,32	20,48	0,22	
E4	F	SYBR	1A1C	13	20,83	20,42	1,08	
E5	F	SYBR	1A1C	13	21,24	20,42	1,08	
E6	F	SYBR	1A1C	13	19,19	20,42	1,08	
F4	J	SYBR	1A1C	14	30,42	29,36	1,41	
F5	J	SYBR	1A1C	14	27,75	29,36	1,41	
F6	J	SYBR	1A1C	14	29,89	29,36	1,41	
G4	nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	SYBR	1A1C	15	30,02	29,92	0,35	
G5	nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	SYBR	1A1C	15	30,21	29,92	0,35	
G6	nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	SYBR	1A1C	15	29,54	29,92	0,35	
H4	r	SYBR	1A1C	16	19,24	19,10	0,63	
H5	r	SYBR	1A1C	16	19,64	19,10	0,63	
H6	r	SYBR	1A1C	16	18,41	19,10	0,63	
A7	EE	SYBR	1A1C	17	26,04	25,85	0,33	
A8	EE	SYBR	1A1C	17	26,05	25,85	0,33	
A9	EE	SYBR	1A1C	17	25,47	25,85	0,33	
B7	HHHHH	SYBR	1A1C	18	26,43	25,80	0,55	
B8	HHHHH	SYBR	1A1C	18	25,36	25,80	0,55	
B9	HHHHH	SYBR	1A1C	18	25,62	25,80	0,55	
C7	LLLLLLLL	SYBR	1A1C	19	24,33	24,12	0,18	
C8	LLLLLLLL	SYBR	1A1C	19	24,01	24,12	0,18	
C9	LLLLLLLL	SYBR	1A1C	19	24,03	24,12	0,18	
D7	CC	SYBR	1A1C	20	23,97	22,74	1,10	
