Well	Well Name	Dye	Assay	Replicate	Threshold (dR)	Ct (dR)	Ct Avg. Treated Ind.	Ct SD Treated Ind.	
A1	A	SYBR	LPAR1	1	2407,292	28,84	28,76	0,10	
A2	A	SYBR	LPAR1	1	2407,292	28,79	28,76	0,10	
A3	A	SYBR	LPAR1	1	2407,292	28,65	28,76	0,10	
B1	E	SYBR	SYBR	2	947,994	27,26	27,32	0,21	
B2	E	SYBR	SYBR	2	947,994	27,56	27,32	0,21	
B3	E	SYBR	SYBR	2	947,994	27,15	27,32	0,21	
C1	I	SYBR	SYBR	3	947,994	27,56	27,75	0,21	
C2	I	SYBR	SYBR	3	947,994	27,70	27,75	0,21	
C3	I	SYBR	SYBR	3	947,994	27,97	27,75	0,21	
D1	M	SYBR	SYBR	4	947,994	34,61	29,60	4,33	
D2	M	SYBR	SYBR	4	947,994	27,08	29,60	4,33	
D3	M	SYBR	SYBR	4	947,994	27,12	29,60	4,33	
E1	Q	SYBR	LPAR1	5	2407,292	33,54	31,50	1,76	
E2	Q	SYBR	LPAR1	5	2407,292	30,52	31,50	1,76	
E3	Q	SYBR	LPAR1	5	2407,292	30,45	31,50	1,76	
F1	U	SYBR	LPAR2	6	961,959	25,52	24,76	0,67	
F2	U	SYBR	LPAR2	6	961,959	24,52	24,76	0,67	
F3	U	SYBR	LPAR2	6	961,959	24,23	24,76	0,67	
G1	Y	SYBR	LPAR2	7	961,959	24,48	24,81	0,28	
G2	Y	SYBR	LPAR2	7	961,959	25,00	24,81	0,28	
G3	Y	SYBR	LPAR2	7	961,959	24,93	24,81	0,28	
H1	c	SYBR	LPAR2	8	961,959	24,99	24,98	0,29	
H2	c	SYBR	LPAR2	8	961,959	25,26	24,98	0,29	
H3	c	SYBR	LPAR2	8	961,959	24,68	24,98	0,29	
A4	B	SYBR	LPAR2	9	961,959	25,38	25,46	0,07	
A5	B	SYBR	LPAR2	9	961,959	25,48	25,46	0,07	
A6	B	SYBR	LPAR2	9	961,959	25,51	25,46	0,07	
B4	F	SYBR	LPAR2	10	961,959	24,10	24,09	0,23	
B5	F	SYBR	LPAR2	10	961,959	23,85	24,09	0,23	
B6	F	SYBR	LPAR2	10	961,959	24,31	24,09	0,23	
C4	J	SYBR	LPAR2	11	961,959	22,94	23,16	0,55	
C5	J	SYBR	LPAR2	11	961,959	23,79	23,16	0,55	
C6	J	SYBR	LPAR2	11	961,959	22,75	23,16	0,55	
D4	N	SYBR	LPAR2	12	961,959	25,92	26,37	0,71	
D5	N	SYBR	LPAR2	12	961,959	27,18	26,37	0,71	
D6	N	SYBR	LPAR2	12	961,959	26,00	26,37	0,71	
E4	R	SYBR	LPAR2	13	961,959	24,79	25,25	0,48	
E5	R	SYBR	LPAR2	13	961,959	25,75	25,25	0,48	
E6	R	SYBR	LPAR2	13	961,959	25,19	25,25	0,48	
F4	V	SYBR	LPAR2	14	961,959	23,22	23,16	0,10	
F5	V	SYBR	LPAR2	14	961,959	23,05	23,16	0,10	
F6	V	SYBR	LPAR2	14	961,959	23,21	23,16	0,10	
G4	Z	SYBR	LPAR1	15	2407,292	27,54	27,72	0,43	
G5	Z	SYBR	LPAR1	15	2407,292	28,21	27,72	0,43	
G6	Z	SYBR	LPAR1	15	2407,292	27,41	27,72	0,43	
H4	d	SYBR	SYBR	16	947,994	33,98	33,98	0,00	
H5	d	SYBR	SYBR	16	947,994	No Ct	33,98	0,00	
H6	d	SYBR	SYBR	16	947,994	No Ct	33,98	0,00	
A7	C	SYBR	IL6	17	2573,242	25,93	26,43	0,55	
A8	C	SYBR	IL6	17	2573,242	26,36	26,43	0,55	
A9	C	SYBR	IL6	17	2573,242	27,01	26,43	0,55	
B7	G	SYBR	IL6	18	2573,242	31,27	30,82	0,42	
B8	G	SYBR	IL6	18	2573,242	30,44	30,82	0,42	
B9	G	SYBR	IL6	18	2573,242	30,74	30,82	0,42	
C7	K	SYBR	IL6	19	2573,242	29,92	30,94	0,88	
C8	K	SYBR	IL6	19	2573,242	31,45	30,94	0,88	
C9	K	SYBR	IL6	19	2573,242	31,44	30,94	0,88	
D7	o	SYBR	IL6	20	2573,242		1,00	0,00	
D8	o	SYBR	IL6	20	2573,242		1,00	0,00	
D9	o	SYBR	IL6	20	2573,242		1,00	0,00	
E7	S	SYBR	IL6	21	2573,242	23,55	23,66	0,14	
E8	S	SYBR	IL6	21	2573,242	23,63	23,66	0,14	
E9	S	SYBR	IL6	21	2573,242	23,82	23,66	0,14	
F7	W	SYBR	IL6	22	2573,242	29,78	30,16	0,37	
F8	W	SYBR	IL6	22	2573,242	30,52	30,16	0,37	
F9	W	SYBR	IL6	22	2573,242	30,20	30,16	0,37	
G7	a	SYBR	LPAR1	23	2407,292	32,15	31,76	0,34	
